subtree_id,subtree_name,category_id,category_name,category_path,item_id,name,msrp,retail_price,upc,shortDescription,longDescription,brandName,thumbnailImage,mediumImage,largeImage,color,customerRating,stock,productTrackingUrl,categoryNode
"976759","Food","976759_976793_8910423","Fresh Vegetables","Food/Fresh Produce/Fresh Vegetables","10312212","Fresh Pearl Onions, 8 oz","3.78","3.34","037842046224","Add flavor to your next meal with Fresh White Pearl Onions. Boil them whole, or add to soups, stews or creamed dishes like creamed peas and onions. Pearl onions make a great addition to salads and may also be pickled or marinated. For easy peeling, trim both ends and blanch in boiling water for 30 seconds. Remove pearl onions from the pot and drop them into cold water. When cooled enough to touch, drain the water, and easily peel off outer skin. Stock your pantry with this ten-ounce bag of Fresh White Pearl Onions.","8-ounces of fresh pearl onions About the size of a large marble and have a mild onion flavor Sheathed in dry, papery skins and can be used as an alternative to your generic onion Add them to soups and stews Use to make creamed dishes like creamed peas and onions","Fresh Produce","https://i5.walmartimages.com/asr/8a75cbec-2b2d-46b6-8cd9-1b931596ef90.d2b61fe22d2729fcec4f46017ab8c5fd.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/8a75cbec-2b2d-46b6-8cd9-1b931596ef90.d2b61fe22d2729fcec4f46017ab8c5fd.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/8a75cbec-2b2d-46b6-8cd9-1b931596ef90.d2b61fe22d2729fcec4f46017ab8c5fd.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","White","3.0","Not available","https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2F10312212","976759_976793_8910423"
"976759","Food","976759_976793_8910423","Fresh Vegetables","Food/Fresh Produce/Fresh Vegetables","10312213","Melissa's Red Pearl Onions, 10 Oz.","","2.98","033383603513","Onions, Pearl, Red, Bag 10 OZ Ideal for soups & stews! Good life food. For more information visit www.melissas.com. Product of USA. To Peel: Place onions in boiling water for 3 minutes. Rinse in cold water. Cut off ends of each onion and remove skin. To Store: Keep in a cool, dry place. 10 oz (283 g) Los Angeles, CA 90051 800-588-0151","Onions, Pearl, RedIdeal for soups & stews! Good life food. For more information visit www.melissas.com. Product of USA.","Unbranded","https://i5.walmartimages.com/asr/d1981513-5588-4b83-a22a-1326ba716fd5_1.90bbe3e206ab70b693b8e0506366071d.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/d1981513-5588-4b83-a22a-1326ba716fd5_1.90bbe3e206ab70b693b8e0506366071d.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/d1981513-5588-4b83-a22a-1326ba716fd5_1.90bbe3e206ab70b693b8e0506366071d.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","","Not available","https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2F10312213","976759_976793_8910423"
"976759","Food","976759_976793_8910423","Fresh Vegetables","Food/Fresh Produce/Fresh Vegetables","10312214","Melissa's Gold Pearl Onions, 10 Oz.","","3.97","033383604015","Pearl Onions, Gold 10 oz (283 g) Melissa's pearl onions impart a mild, sweet flavor to any dish and when served as a side dish they become a surprising treat. Product of USA. To Peel: Place in boiling water for 3 minutes. Rinse in cold water. Cut off ends of each onion and remove skin. To Store: Keep in a cool, dry place. 10 oz (283 g) P.O. Box 21127 Los Angeles, CA 90021 800-588-0151","Gold Pearl Onions 10 Oz Bag","Unbranded","https://i5.walmartimages.com/asr/85a7e2b3-2230-472b-9ff7-508ce89c90ab_1.6bb283a44aa603bec316168493c7ffa9.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/85a7e2b3-2230-472b-9ff7-508ce89c90ab_1.6bb283a44aa603bec316168493c7ffa9.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/85a7e2b3-2230-472b-9ff7-508ce89c90ab_1.6bb283a44aa603bec316168493c7ffa9.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","","Not available","https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2F10312214","976759_976793_8910423"
"976759","Food","976759_976793_8910423","Fresh Vegetables","Food/Fresh Produce/Fresh Vegetables","10312229","Fresh Whole White Mushrooms, 8 oz","1.76","1.58","896758001006","This versatile ingredient is perfect for a variety of dishes. Mince some up and put them in your omelet with peppers and ham for a filling breakfast. parmesan, and sharp cheddar cheese for a delicious, mouthwatering meal. White mushrooms are an excellent source of riboflavin . Enjoy the delicious taste of Fresh White Mushrooms in any way you prepare them.","Adds flavor and textures to your meals Great for breakfast, lunch, or dinner Mince them for an omelet, slice them for a salad, or stuff them with cheese Naturally fat-free and cholesterol-free Low in sodium and calories","To-Jo","https://i5.walmartimages.com/asr/b28f70b0-352f-43a0-8628-b146fbe91893.da361e057d3e643632e59d3f753b1910.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/b28f70b0-352f-43a0-8628-b146fbe91893.da361e057d3e643632e59d3f753b1910.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/b28f70b0-352f-43a0-8628-b146fbe91893.da361e057d3e643632e59d3f753b1910.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","4.0","Not available","https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2F10312229","976759_976793_8910423"
"976759","Food","976759_976793_8910423","Fresh Vegetables","Food/Fresh Produce/Fresh Vegetables","10312231","Fresh Shiitake Mushrooms 3.5oz","","7.47","deleted_033383675312","Fresh Shiitake Mushrooms, Product of USA, Keep Refrigerated, Rinse before use.","Mountain View: Shiitake Mushrooms, 3.5 oz","Phillips Mushroom Farms","https://i5.walmartimages.com/asr/de5a7276-bb8a-4b34-9f2b-2a514dae0fe1.985cede5e89a94c32b22edc9b82f7d20.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/de5a7276-bb8a-4b34-9f2b-2a514dae0fe1.985cede5e89a94c32b22edc9b82f7d20.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/de5a7276-bb8a-4b34-9f2b-2a514dae0fe1.985cede5e89a94c32b22edc9b82f7d20.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","","Not available","https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2F10312231","976759_976793_8910423"
"976759","Food","976759_976793_8910423","Fresh Vegetables","Food/Fresh Produce/Fresh Vegetables","10312232","Crimini Mushrooms, 6 Oz.","","7.47","033383675626","Crimini Mushrooms, 6 Oz.","Crimini Mushrooms 6 Oz","Phillips Gourmet","https://i5.walmartimages.com/asr/76f3f3f9-7643-4ad7-b466-49ff4cbfffc3_1.edf01029e0a8ff4e614647813893b807.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/76f3f3f9-7643-4ad7-b466-49ff4cbfffc3_1.edf01029e0a8ff4e614647813893b807.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/76f3f3f9-7643-4ad7-b466-49ff4cbfffc3_1.edf01029e0a8ff4e614647813893b807.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","","Not available","https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2F10312232","976759_976793_8910423"
"976759","Food","976759_976793_8910423","Fresh Vegetables","Food/Fresh Produce/Fresh Vegetables","10312233","Sliced Baby Portabella Mushrooms, 6 Oz.","","2.78","033383675688","Sliced Baby Portabella Mushrooms, 6 Oz.","Sliced Baby Portabella Mushrooms 6 Oz","PRODUCE UNBRANDED","https://i5.walmartimages.com/asr/c20cac80-04ed-4cd4-bb8d-fa5abf0da59d_1.308353dab2c122b6c2724b3f6a5e6476.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/c20cac80-04ed-4cd4-bb8d-fa5abf0da59d_1.308353dab2c122b6c2724b3f6a5e6476.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/c20cac80-04ed-4cd4-bb8d-fa5abf0da59d_1.308353dab2c122b6c2724b3f6a5e6476.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","","Not available","https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2F10312233","976759_976793_8910423"
"976759","Food","976759_976793_8910423","Fresh Vegetables","Food/Fresh Produce/Fresh Vegetables","10313027","Fresh Whole Shallots, 3 oz","","1.88","037842056001","These Fresh Shallots will add a distinct flavor to your favorite dishes. Sautee them to achieve a subtle sweetness or add them to soups, stews and roasts for a hearty, savory taste. When peeled, these red shallots separate into cloves like garlic. They also taste delicious sliced, diced and added raw to hamburger meat before grilling outdoors. The aroma is enticing and appetizing. To maintain freshness, store them at room temperature in cool, dry location in your kitchen or pantry. Stock up on several packets for everyday meal planning and entertaining guests. This fresh produce item is not only Fat-Free, but also only available at a Walmart store.","Shallots, 3 ounces When selecting shallots, they should have a firm texture and be blemish free Looks more like garlic than an onion This fresh produce item only available for purchase at a Walmart store 'Packet', and 'No Artificial Colors; No Artificial Flavors'.","Fresh Produce","https://i5.walmartimages.com/asr/fd70bb20-79f9-4190-98fb-5194226e2678.ec663739e823b2a4d7a3496e28c367b8.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/fd70bb20-79f9-4190-98fb-5194226e2678.ec663739e823b2a4d7a3496e28c367b8.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/fd70bb20-79f9-4190-98fb-5194226e2678.ec663739e823b2a4d7a3496e28c367b8.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","Red","3.9","Not available","https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2F10313027","976759_976793_8910423"
"976759","Food","976759_976793_8910423","Fresh Vegetables","Food/Fresh Produce/Fresh Vegetables","10313033","Frieda's Boiler Onions Whole Fresh, 1lb Bag","3.97","3.88","037842046033","Melissa onion boiler offer a fresh, sweet pungent flavor, used in casseroles and stews, or flavored with a sauce as a side dish. These Fresh, Whole Onions offer a flavor additional to any dish and are superb grilled with assorted meats and vegetables on shish kabobs White onions also make delicious golden onion rings to serve alongside juicy hamburgers and hot dogs at your next backyard barbecue. You can keep these onions at room temperature until ready to use. Stock your pantry with this two-pound bag of Fresh White Onions.","Fresh whole white onions Ideal ingredient in a variety of recipes Can be sauteed and put in your favorite foods for added flavor Use to top sandwiches, hamburgers, and hot dogs Fresh onions can be stored in a cabinet or pantry and are easy to prepare","Fresh Produce","https://i5.walmartimages.com/asr/b251abb5-5599-4f3c-9fc2-f4baecaaa8aa_1.5148c649a2b3c1a45b054cbc556064de.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/b251abb5-5599-4f3c-9fc2-f4baecaaa8aa_1.5148c649a2b3c1a45b054cbc556064de.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/b251abb5-5599-4f3c-9fc2-f4baecaaa8aa_1.5148c649a2b3c1a45b054cbc556064de.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","White","3.7","Not available","https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2F10313033","976759_976793_8910423"
"976759","Food","976759_976793_8910423","Fresh Vegetables","Food/Fresh Produce/Fresh Vegetables","10313034","Melissa's Cipolline Onions, 8 Oz.","","3.48","037842046095","Onions, Cipolline, Bag 8 OZ True Italian flavor. A savory addition to any dish. Good life food. For more information & recipes, visit www.melissas.com. Product of USA. To Store: Keep in a cool, dry place. 8 oz (227 g) Los Angeles, CA 90051 800-588-0151","Onions, CipollineTrue Italian flavor. A savory addition to any dish. Good life food. For more information & recipes, visit www.melissas.com. Product of USA.","Unbranded","https://i5.walmartimages.com/asr/b88bef78-19a1-4913-ac27-1b3e417e93da_1.608f6a668d0e3d9eddacb3b57677a14b.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/b88bef78-19a1-4913-ac27-1b3e417e93da_1.608f6a668d0e3d9eddacb3b57677a14b.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/b88bef78-19a1-4913-ac27-1b3e417e93da_1.608f6a668d0e3d9eddacb3b57677a14b.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","","Not available","https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2F10313034","976759_976793_8910423"
"976759","Food","976759_976793_8910423","Fresh Vegetables","Food/Fresh Produce/Fresh Vegetables","10313099","Popeye Fresh!: Spring Mix & Baby Spinach, 5 oz","","","045388807063","Popeye Fresh!: Spring Mix & Baby Spinach, 5 oz","Popeye Fresh!: Spring Mix & Baby Spinach, 5 oz","Popeye Fresh!","https://i5.walmartimages.com/asr/1d5c33ba-201c-49ee-afc0-1f48b29e1f88_1.f2fb34c424de912ea3d3e844a57d40b5.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/1d5c33ba-201c-49ee-afc0-1f48b29e1f88_1.f2fb34c424de912ea3d3e844a57d40b5.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/1d5c33ba-201c-49ee-afc0-1f48b29e1f88_1.f2fb34c424de912ea3d3e844a57d40b5.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","","Not available","https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2F10313099","976759_976793_8910423"
"976759","Food","976759_976793_8910423","Fresh Vegetables","Food/Fresh Produce/Fresh Vegetables","10314577","Fresh Express Early Harvest Iceberg Garden, 24 Oz.","","3.18","071279104119","Iceberg Garden 24 oz (680 g) Iceberg, carrots, red cabbage. Fresh, great tasting, more nutritious than just iceberg lettuce! 5 Times more of the daily value for Vitamin A; 6 times the antioxidant beta carotene per serving. Contains 8 servings. Thoroughly washed. No preservatives. Stay fresh seal. Why we're so fresh! Cool and crisp Fresh Express cools our salads within hours of harvesting and keeps them cold all the way to the store. Washed & ready all Fresh Express salads are thoroughly washed, rinsed and gently dried, then sealed in a keep-crisp bag for long lasting freshness without preservatives. Delivered fresh daily Fresh Express delivers the freshest salads to your store every day. At Fresh Express we are passionate about delivering the freshest, highest quality salads possible! Our team of food scientists and agricultural experts are committed to exceeding industry standards so we can guarantee the freshness of every leaf, every single day. Fresh Express Early Harvest lettuce is harvested at the peak of freshness - up to two weeks earlier than most whole head lettuce. Picked for optimal freshness, our Early Harvest lettuce, carrots, and red cabbage are crisp, great tasting and packed with nutrients! Keep refrigerated. Stay Fresh Seal: 1) Cut bag. 2) Peel back seal from top left. 3) Roll bag down. 4. Reapply seal to front. Reseal for freshness. 24 oz (680 g) P.O. Box 80599 Salinas, CA 93912 800-242-5472 2007 Fresh Express Incorporated","Fresh Express 24 Oz Garden Salad","Fresh Produce","https://i5.walmartimages.com/asr/5db35294-f0a1-4587-89a8-d83863885a5b.87fb3843ba8acb6e9c3198a1fd14a714.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/5db35294-f0a1-4587-89a8-d83863885a5b.87fb3843ba8acb6e9c3198a1fd14a714.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/5db35294-f0a1-4587-89a8-d83863885a5b.87fb3843ba8acb6e9c3198a1fd14a714.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","3.6","Not available","https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2F10314577","976759_976793_8910423"
"976759","Food","976759_976793_8910423","Fresh Vegetables","Food/Fresh Produce/Fresh Vegetables","10314580","Fresh Express Early Harvest Romaine, 9 oz.","","2.38","071279108087","Romaine, Premium 9 oz (255 g) Romaine, carrots, red cabbage. Fresh, great tasting, more nutritious than just Iceberg lettuce (Vitamin A: 300 IU per serving in Iceberg lettuce (6% of the daily value) vs. 5739 IU per serving in Fresh Express Premium Romaine (110% of the daily value). This product has 104% more (18 times) of the daily value for vitamin A than just Iceberg lettuce. Anti-Oxidant Beta Carotene: 115 mcg per serving in Iceberg lettuce vs. 3259 mcg per serving in Fresh Express Premium Romaine)! 18 times more of the daily value for vitamin A. 27 times the anti-oxidant beta carotene per serving. Thoroughly washed. Fresh! No preservatives. Over 80 years of freshness. Why we're so fresh! Cool and Crisp: Fresh Express cools our salads within hours of harvesting and keeps them cold all the way to the store. Brrr. Washed & Ready: All Fresh Express salads are thoroughly washed, rinsed and gently dried, then sealed in a Keep-Crisp bag for long lasting freshness without preservatives. Delivered Fresh Daily: Fresh Express delivers the freshest salads to your store every day. Guaranteed fresh! At Fresh Express, we are passionate about delivering the freshest, highest quality salads possible! Our team of food scientists and agricultural experts are committed to exceeding industry standards so we can guarantee the freshest of every leaf, every single day. Fruits & veggies - more matters. Fresh Express Early Harvest lettuce is harvested at the peak of freshness - up to two weeks earlier than most whole head lettuce. Picked for optimal freshness, our Early Harvest lettuce, carrot, and red cabbage are crisp, great tasting and packed with nutrients! Product of USA & Mexico. Reseal for freshness. 9 oz (255 g) PO Box 80599 Salinas, CA 93912 800-242-5472 2007 Fresh Express Incorporated","Salad, Premium RomaineRomaine lettuce. Carrots. Red cabbage. Excellent source of vitamin A + vitamin K + folate. Thoroughly washed. Ready to eat. No preservatives. Premium romaine is an excellent source of vitamin A, vitamin K & folate, vitamin A contributes to the maintenance of normal vision. Vitamin K helps maintain healthy bones. Folate contributes to the reduction of fatigue. Low fat diets rich in fruits and vegetables (foods that are low in fat and contains vitamin A, vitamin C and dietary fiber) may reduce the risk of some types of cancer, a disease associated with many factors. Why we're so Fresh! To guarantee Fresh Express salads are consistently, deliciously fresh, we: Cool our salads within hours of harvest and keep them chilled from field to store; thoroughly rinse and gently dry then seal them in our Keep-Crisp bag to maintain freshness; and deliver fresh salads daily. Fresh Express Promise: Fresh guaranteed! At Fresh Express, we are passionate about delivering the freshest, highest quality salads possible! Our team of food scientists and agricultural experts are committed to exceeding industry standards so we can guarantee the freshness of our salads, every single day. Fruits & veggies - more matters. Questions? Comments? Call 1-800-242-5472 or visit www.FreshExpress.com. Romaine grown in Yuma, AZ. Product of USA.","Fresh Express","https://i5.walmartimages.com/asr/326754d7-2ba9-441d-9a4d-8c3781617dd6.cb4c03ba9abea7004c73e406bcd2c29e.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/326754d7-2ba9-441d-9a4d-8c3781617dd6.cb4c03ba9abea7004c73e406bcd2c29e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/326754d7-2ba9-441d-9a4d-8c3781617dd6.cb4c03ba9abea7004c73e406bcd2c29e.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","","Not available","https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2F10314580","976759_976793_8910423"
"976759","Food","976759_976793_8910423","Fresh Vegetables","Food/Fresh Produce/Fresh Vegetables","10314581","Fresh Express Salad, 9 Oz.","","3.97","071279108094","Lettuce Trio, Bag 9 OZ Iceberg lettuce. Romaine lettuce. Green leaf lettuce. Excellent source of vitamin A + vitamin K. Thoroughly washed. Ready to eat. Guaranteed fresh. No preservatives. Lettuce Trio is an excellent source of vitamins A & vitamin K. Vitamin A contributes to the maintenance of normal vision. Vitamin K helps maintain healthy bones. Low fat diets rich in fruits and vegetables (foods that are low in fat and contain vitamin A, vitamin C and dietary fiber) may reduce the risk of some types of cancer, a disease associated with many factors. Fruits & veggies - more matters. Why we're so fresh! To guarantee Fresh Express salads are consistently, deliciously fresh, we: Cool our salads within hours of harvest and keep them chilled from field to store; Thoroughly rinse and gently dry; then seal them in our Keep-Crisp bag to maintain freshness; And deliver fresh salads daily. Fresh Express Promise: Freshness guaranteed! At Fresh Express, we are passionate about delivering the freshest, highest quality salads possible! Our team of food scientists and agricultural experts are committed to exceeding industry standards so we can guarantee the freshness of our salads, every single day. Questions? Comments? Call 1-800-242-5472 or visit www.FreshExpress.com. Premium garden. Get delicious recipes & more! Product of USA. Keep refrigerated. Reseal for freshness. 9 oz (255 g) PO Box 80599 Salinas, CA 93912 800-242-5472 2011 Fresh Express Incorporated","Salad, Lettuce TrioIceberg lettuce. Romaine lettuce. Green leaf lettuce. Excellent source of vitamin A + vitamin K. Thoroughly washed. Ready to eat. Guaranteed fresh. No preservatives. Lettuce Trio is an excellent source of vitamins A & vitamin K. Vitamin A contributes to the maintenance of normal vision. Vitamin K helps maintain healthy bones. Low fat diets rich in fruits and vegetables (foods that are low in fat and contain vitamin A, vitamin C and dietary fiber) may reduce the risk of some types of cancer, a disease associated with many factors. Fruits & veggies - more matters. Why we're so fresh! To guarantee Fresh Express salads are consistently, deliciously fresh, we: Cool our salads within hours of harvest and keep them chilled from field to store; Thoroughly rinse and gently dry; then seal them in our Keep-Crisp bag to maintain freshness; And deliver fresh salads daily. Fresh Express Promise: Freshness guaranteed! At Fresh Express, we are passionate about delivering the freshest, highest quality salads possible! Our team of food scientists and agricultural experts are committed to exceeding industry standards so we can guarantee the freshness of our salads, every single day. Questions? Comments? Call 1-800-242-5472 or visit www.FreshExpress.com. Premium garden. Get delicious recipes & more! Product of USA.","Fresh Express","https://i5.walmartimages.com/asr/eb5d5028-8f53-4d98-8415-740be1ae2d56_1.d36d19497a9d76b807a10602608f8762.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/eb5d5028-8f53-4d98-8415-740be1ae2d56_1.d36d19497a9d76b807a10602608f8762.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/eb5d5028-8f53-4d98-8415-740be1ae2d56_1.d36d19497a9d76b807a10602608f8762.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","","Not available","https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2F10314581","976759_976793_8910423"
"976759","Food","976759_976793_8910423","Fresh Vegetables","Food/Fresh Produce/Fresh Vegetables","10314583","Fresh Express 5-Lettuce Mix, 6 Oz.","","2.98","071279251011","5-Lettuce Mix 6 oz (170 g) Colorful mix of European lettuces. Thoroughly washed. Fresh! No preservatives. Over 80 years of freshness. Why we're so fresh! Cool and Crisp: Fresh Express cools our salads within hours of harvesting and keeps them cold all the way to the store. Washed & Ready: All Fresh Express salads are thoroughly washed, rinsed and gently dried, then sealed in a Keep-Crisp bag for long lasting freshness without preservatives. Delivered Fresh Daily: Fresh Express delivers the freshest salads to your store every day. Fresh Express Promise - Guaranteed Fresh: At Fresh Express, we are passionate about delivering the freshest, highest quality salads possible! Our team of food scientists and agricultural experts are committed to exceeding industry standards so we can guarantee the freshness of every leaf, every single day. Every Day Gourmet Salads. The Every Day Gourmet Salads line from Fresh Express - an exciting collection of lettuce varieties that are a gourmet start to your salad creation! Through years of exploring and tasting, we've developed the best salad mixes by hand-picking from 25 varieties of the finest lettuces and greens. We've done the work for you, now all you have to do is create and enjoy! Satisfaction guaranteed for a delicious salad! Fruits & veggies. More matters. Sealed for maximum freshness & safety. Guaranteed fresh. Product of USA & Mexico. Reseal for freshness. Keep refrigerated. Simple gourmet salad ideas with 5-lettuce mix. Serve it on the Side: Make an orchard salad, just add dried apricots, golden raisins, Chiquita Fruit Bites pre-cut apples and sliced green onions. Mix in a raspberry vinaigrette. Make it a Meal: For a grilled fish salad, toss in sliced cucumber, cherry tomatoes, sliced green onions. Mix in a ranch or vinaigrette dressing and top the salad with a warm piece of grilled fish. Pack it for Lunch: Create an Italian chef salad, add chopped slice salami, garbanzo beans, black olives, thinly sliced red onion and grated parmesan cheese. Toss with your favorite dressing or try red wine vinaigrette. 6 oz (170 g) PO Box 80599 Salinas, CA 93912 2006 Fresh Express Incorporated","5-Lettuce MixColorful mix of European lettuces. Thoroughly washed. Fresh! No preservatives. Over 80 years of freshness. Why we're so fresh! Cool and Crisp: Fresh Express cools our salads within hours of harvesting and keeps them cold all the way to the store. Washed & Ready: All Fresh Express salads are thoroughly washed, rinsed and gently dried, then sealed in a Keep-Crisp bag for long lasting freshness without preservatives. Delivered Fresh Daily: Fresh Express delivers the freshest salads to your store every day. Fresh Express Promise - Guaranteed Fresh: At Fresh Express, we are passionate about delivering the freshest, highest quality salads possible! Our team of food scientists and agricultural experts are committed to exceeding industry standards so we can guarantee the freshness of every leaf, every single day. Every Day Gourmet Salads. The Every Day Gourmet Salads line from Fresh Express - an exciting collection of lettuce varieties that are a gourmet start to your salad creation! Through years of exploring and tasting, we've developed the best salad mixes by hand-picking from 25 varieties of the finest lettuces and greens. We've done the work for you, now all you have to do is create and enjoy! Satisfaction guaranteed for a delicious salad! Fruits & veggies. More matters. Sealed for maximum freshness & safety. Guaranteed fresh. Product of USA & Mexico.","Fresh Express","https://i5.walmartimages.com/asr/e86fcc85-20e9-4b99-8229-84aa05474a36_1.bc49dbd9ce34b07e60e3b1fecbb6ec18.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff","https://i5.walmartimages.com/asr/e86fcc85-20e9-4b99-8229-84aa05474a36_1.bc49dbd9ce34b07e60e3b1fecbb6ec18.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff","https://i5.walmartimages.com/asr/e86fcc85-20e9-4b99-8229-84aa05474a36_1.bc49dbd9ce34b07e60e3b1fecbb6ec18.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff","","","Not available","https://goto.walmart.com/c/|PUBID|/568844/9383?veh=aff&sourceid=imp_000011112222333344&u=https%3A%2F%2Fwww.walmart.com%2Fip%2F10314583","976759_976793_8910423"
